Alpha2,Beta0,Beta1,Beta2,Beta3,Delta0,Delta1,Delta2,Delta3,Delta5,Low0,Low1,Low2,Low3,Low5
5.1594,2.42874,2.1051,1.3064,0.891306,9.399,6.819,8.918,14.12,7.14,5.21,4.53,5.586,7.766,3.71
1.16308,0.717277,0.46209,0.644872,0.443135,4.238,3.97185,3.40039,3.33558,2.14734,2.06286,2.2874,1.68166,1.8405,1.27765
0.429567,0.328015,0.216232,0.198139,0.194121,4.03166,2.50669,2.27579,2.89918,2.64989,1.40883,0.997557,0.913971,1.08509,1.03685
1.12502,0.485781,0.497573,0.44925,0.459486,4.27552,3.51101,3.88293,3.80104,3.73493,1.6122,1.63968,1.85371,1.81763,1.79322
1.90834,2.48046,0.842735,0.69224,0.547006,5.07983,4.03388,5.63403,6.86129,3.9957,3.37612,2.44558,2.85139,3.21632,2.67183
1.66729,1.61563,1.49324,1.43941,1.30359,11.3112,6.28253,6.40563,7.0215,5.96727,5.20944,2.96401,3.10907,3.32462,2.69806
1.52713,1.44562,1.27805,1.48927,1.49018,7.44012,6.69323,7.25948,8.3628,5.5144,3.5143,2.82147,3.17428,3.18285,2.38472
