Alpha2,Beta0,Beta1,Beta2,Beta3,Delta0,Delta1,Delta2,Delta3,Delta5,Low0,Low1,Low2,Low3,Low5
4.51427,2.88649,2.19881,1.93501,1.72971,19.7039,11.1245,15.7475,19.1877,11.0085,9.13056,5.7731,7.5984,8.95869,5.92436
3.78657,4.21553,1.54156,1.33869,1.27985,24.8036,10.1294,12.956,18.9629,13.4591,10.1541,5.19304,6.44223,8.90861,5.50464
1.06425,0.708831,0.620983,0.403901,0.325394,3.61291,3.63775,4.62386,6.55549,3.17497,1.61413,1.73288,2.23785,2.82804,1.57219
1.24867,0.660665,0.495818,0.333507,0.330081,2.60781,2.0009,4.26419,5.68173,3.26552,2.11385,1.88085,2.13351,2.62799,1.97417
